population,treatment,replicate,tag,date,doy,l1_total_length,l1_green_length,l2_total_length,l2_green_length,l3_total_length,l3_green_length,l4_total_length,l4_green_length,l5_total_length,l5_green_length,l6_total_length,l6_green_length,tiller_total_green_length,avg_green_leaf_length,tiller_pct_green
SG,Dry,4,SG 1-4,9/2/17,245,12,0,20.5,6,15.5,9.5,5,4.5,NA,NA,NA,NA,20,5,0.38
SG,Dry,4,SG 1-4,9/11/17,254,20,0,16,5,5,5,NA,NA,NA,NA,NA,NA,10,3.33,0.24
SG,Dry,6,SG 1-6,7/15/17,196,10,10,11,11,2,2,NA,NA,NA,NA,NA,NA,23,7.67,1
SG,Dry,6,SG 1-6,7/26/17,207,10,10,11,11,4,4,NA,NA,NA,NA,NA,NA,25,8.33,1
SG,Dry,6,SG 1-6,8/4/17,216,10,10,11,11,4,4,NA,NA,NA,NA,NA,NA,25,8.33,1
SG,Dry,6,SG 1-6,8/12/17,224,10,0,11,11,4,4,NA,NA,NA,NA,NA,NA,15,5,0.6
SG,Dry,6,SG 1-6,8/20/17,232,10,0,11,11,4,4,NA,NA,NA,NA,NA,NA,15,5,0.6
SG,Dry,6,SG 1-6,9/2/17,245,10,0,11,6.5,4,4,NA,NA,NA,NA,NA,NA,10.5,3.5,0.42
SG,Dry,6,SG 1-6,9/11/17,254,1,3,11,0,4,4,NA,NA,NA,NA,NA,NA,7,2.33,0.44
SG,Deep,1,SG 3-1,7/15/17,196,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,20,10,1
SG,Deep,1,SG 3-1,7/26/17,207,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,20,10,1
SG,Deep,1,SG 3-1,8/4/17,216,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,20,10,1
SG,Deep,1,SG 3-1,8/12/17,224,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,20,10,1
SG,Deep,1,SG 3-1,8/20/17,232,10,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,19,9.5,0.95
SG,Deep,1,SG 3-1,9/2/17,245,10,8,10,8.5,NA,NA,NA,NA,NA,NA,NA,NA,16.5,8.25,0.83
SG,Deep,1,SG 3-1,9/11/17,254,10,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
SG,Deep,2,SG 3-2,7/15/17,196,9.5,6,13.5,13.5,8,8,NA,NA,NA,NA,NA,NA,27.5,9.17,0.89
SG,Deep,2,SG 3-2,7/26/17,207,9.5,6,13.5,13.5,10,10,3,3,NA,NA,NA,NA,32.5,8.13,0.9
SG,Deep,2,SG 3-2,8/4/17,216,9.5,6,13.5,13.5,10,10,5,5,3,3,NA,NA,37.5,7.5,0.91
SG,Deep,2,SG 3-2,8/12/17,224,9.5,5,13.5,13.5,10,10,6,6,3,3,NA,NA,37.5,7.5,0.89
SG,Deep,2,SG 3-2,8/20/17,232,9.5,5,13.5,13,10,10,6,6,3,3,NA,NA,37,7.4,0.88
SG,Deep,2,SG 3-2,9/2/17,245,9.5,5,13.5,13,10,10,6.5,6.5,3,3,NA,NA,37.5,7.5,0.88
SG,Deep,2,SG 3-2,9/11/17,254,9.5,0,13.5,4,10,5,6.5,6,3,3,NA,NA,18,3.6,0.42
SG,Deep,3,SG 3-3,7/15/17,196,10,7.5,15,15,5.5,5.5,NA,NA,NA,NA,NA,NA,28,9.33,0.92
