population,treatment,replicate,tag,date,curve_id,obs,photo_umol_m2_s,cond_mol_m2_s,ci_umol_mol,trans_mmol_m2_s,vpd_kpa,tleaf_c,tblock_c,tair_c,co2_ref_umol_mol,co2_sample_umol_mol,par_umol_m2_s,press_kpa,leaf_area_cm2
SG,Deep,1,SG 3-1,17802,SG 3-1_17802,115,-1.07127796,0.084352619,69.77252878,2.134737514,2.334770274,26.26531601,15.03496552,15.56308079,51.18437576,51.61652756,1499.330444,92.7791748,1.35
SG,Deep,1,SG 3-1,17802,SG 3-1_17802,116,5.837496456,0.077111558,260.3885149,1.9743452,2.358008942,26.33897209,15.03624058,15.56172371,399.9769592,396.9994507,1499.796143,92.77132416,1.35
SG,Deep,1,SG 3-1,17802,SG 3-1_17802,117,8.828989905,0.073739265,380.6659397,1.899456882,2.370447038,26.38220024,15.03543377,15.5615406,599.8719482,595.3939209,1499.724365,92.77087402,1.35
SG,Deep,1,SG 3-1,17802,SG 3-1_17802,118,11.85852776,0.071525455,497.6643976,1.846815225,2.374853608,26.38804626,15.0346508,15.55973721,799.670166,793.6793823,1499.870361,92.76770782,1.35
SG,Deep,1,SG 3-1,17802,SG 3-1_17802,119,14.12447382,0.069077032,627.9432145,1.7850926,2.375664475,26.37593842,15.0367794,15.55582619,1000.626282,993.4780273,1500.015503,92.76946259,1.35
SG,Deep,1,SG 3-1,17802,SG 3-1_17802,120,16.05436172,0.067929383,767.6606972,1.756336514,2.376331675,26.37220192,15.03535366,15.55254745,1200.036865,1191.877075,1500.022827,92.77059174,1.35
CF,Wet,3,CF 2-3,17802,CF 2-3_17802,121,6.575657728,0.201802401,327.1436377,5.235141018,2.444980018,27.8249836,15.03263092,15.82289219,399.9033203,396.8768921,1500.308838,92.74746704,1.05
CF,Wet,3,CF 2-3,17802,CF 2-3_17802,122,3.767874331,0.196491577,254.3309697,5.173402468,2.477820242,28.03804016,15.03395271,15.84212875,300.085968,298.2287292,1498.882446,92.74764252,1.05
CF,Wet,3,CF 2-3,17802,CF 2-3_17802,123,1.183269112,0.191256215,180.7764093,5.132776268,2.521848237,28.29694557,15.03325939,15.86317348,200.2671661,199.495224,1499.065918,92.74765015,1.05
CF,Wet,3,CF 2-3,17802,CF 2-3_17802,124,-1.097603475,0.187820669,105.39724,5.130643368,2.564049573,28.54206848,15.03263569,15.8789587,100.1669998,100.3707581,1499.173218,92.74731445,1.05
CF,Wet,3,CF 2-3,17802,CF 2-3_17802,125,-2.463171301,0.183009427,71.45269013,5.097472651,2.610666021,28.81176376,15.03249264,15.89949417,51.24803162,52.01682663,1499.725342,92.74772644,1.05
CF,Wet,3,CF 2-3,17802,CF 2-3_17802,126,7.523957539,0.178269804,310.1637141,5.038130966,2.645222891,29.04089355,15.03273964,15.92175579,399.8240967,396.4941101,1498.850952,92.7502594,1.05
CF,Wet,3,CF 2-3,17802,CF 2-3_17802,127,12.58640258,0.174749407,450.8748463,4.998186693,2.674228542,29.22291374,15.03501511,15.93917942,600.0957642,594.6536255,1499.323242,92.74880219,1.05
CF,Wet,3,CF 2-3,17802,CF 2-3_17802,128,16.50914175,0.171551155,600.3340856,4.933507509,2.686414196,29.32296371,15.03555012,15.95214939,799.5488281,792.4069824,1499.141479,92.74673462,1.05
CF,Wet,3,CF 2-3,17802,CF 2-3_17802,129,20.15807502,0.169993698,754.1218407,4.913305089,2.698537037,29.42731476,15.07433701,15.98544788,1000.394958,991.6403198,1498.610352,92.74906921,1.05
CF,Wet,3,CF 2-3,17802,CF 2-3_17802,130,22.57198093,0.167390418,916.5395597,4.863656758,2.710848831,29.52618599,15.13981915,16.04688835,1199.578125,1189.659668,1499.677002,92.75136566,1.05
TL,Wet,2,TL 2-2,17802,TL 2-2_17802,131,10.67705551,0.146913956,259.5370122,4.099073225,2.594063845,29.33317566,15.44683361,16.36278725,399.8171082,394.1662598,1500.18335,92.76015472,1.38
TL,Wet,2,TL 2-2,17802,TL 2-2_17802,132,6.786762111,0.139661732,204.3592951,4.028544965,2.6762211910000002,29.6882515,15.51256752,16.42663193,299.763855,296.0957031,1499.642456,92.76020813,1.38
TL,Wet,2,TL 2-2,17802,TL 2-2_17802,133,3.392676863,0.131749793,147.1296073,3.928783687,2.760623457,30.03772163,15.57209587,16.48465157,199.7499542,197.8330841,1499.898804,92.76328278,1.38
TL,Wet,2,TL 2-2,17802,TL 2-2_17802,134,-0.266757997,0.123910601,98.54605189,3.813831349,2.843220027,30.36845779,15.6243782,16.54050064,100.0787125,100.0259781,1499.625854,92.76513672,1.38
TL,Wet,2,TL 2-2,17802,TL 2-2_17802,135,-2.996221398,0.116142106,89.56419721,3.687041833,2.926371122,30.69594002,15.68748569,16.60479927,49.71080017,51.00174332,1499.131836,92.77132416,1.38
TL,Wet,2,TL 2-2,17802,TL 2-2_17802,136,9.46843784,0.109631223,237.3740854,3.52641496,2.960554802,30.8088131,15.67794228,16.63370514,400.1391602,395.1456604,1500.580078,92.77505493,1.38
TL,Wet,2,TL 2-2,17802,TL 2-2_17802,137,15.94536234,0.10633884,322.6789622,3.397882415,2.939771388,30.68818855,15.56520844,16.5340786,599.6881104,591.4348145,1500.558472,92.78409576,1.38
TL,Wet,2,TL 2-2,17802,TL 2-2_17802,138,21.19024684,0.104083352,425.0812989,3.304899139,2.92066283,30.57660103,15.47464561,16.44255066,799.854248,788.9141846,1501.38623,92.79145813,1.38
TL,Wet,2,TL 2-2,17802,TL 2-2_17802,139,25.72272238,0.101941573,536.0694815,3.224377144,2.908379215,30.4888649,15.3913269,16.35473251,1000.435425,987.1474609,1501.327148,92.78784943,1.38
TL,Wet,2,TL 2-2,17802,TL 2-2_17802,140,28.97488756,0.100236098,666.6507453,3.164198073,2.902057028,30.42374802,15.31716347,16.27996254,1200.962891,1185.916992,1500.387451,92.79025269,1.38
TL,Wet,2,TL 2-2,17802,TL 2-2_17802,141,38.25332374,0.140290961,697.2062041,3.170673759,2.10593199,26.89369774,15.26498795,16.21605682,1199.622925,1180.317505,1505.127808,92.79315948,1.38
SG,Wet,5,SG 2-5,17802,SG 2-5_17802,142,5.521076786,0.073894975,254.7933621,2.779330861,3.430711135,32.32936478,15.76966667,16.73846245,399.7618103,395.9899597,1501.515259,92.80461121,1.71
SG,Wet,5,SG 2-5,17802,SG 2-5_17802,143,3.225986914,0.071030453,208.1618539,2.679837059,3.439294278,32.33224487,15.57824707,16.54111099,299.6358032,297.3441772,1500.332764,92.80821991,1.71
SG,Wet,5,SG 2-5,17802,SG 2-5_17802,144,1.534697141,0.069643003,152.6337577,2.634310234,3.447186535,32.3450737,15.47802353,16.43144989,200.3557129,199.1824493,1500.834595,92.80970764,1.71
SG,Wet,5,SG 2-5,17802,SG 2-5_17802,145,-0.385022266,0.068214529,102.9588144,2.578678896,3.444286418,32.32043839,15.36878872,16.32837105,99.95453644,100.0269165,1501.10083,92.81411743,1.71
SG,Wet,5,SG 2-5,17802,SG 2-5_17802,146,-1.24790543,0.067417368,77.96867599,2.538153395,3.430226833,32.25484467,15.27046967,16.22112465,51.27961349,51.91536713,1501.046753,92.81928253,1.71
