population,treatment,replicate,tag,date,doy,ndvi,lai,biomass_g
SG,Dry,3,SG 1-3,7/31/17,212,0.57,2.3488881832220447,0.531122319445733
SG,Dry,4,SG 1-4,7/31/17,212,0.6,2.9548329048583892,0.623028554425252
SG,Dry,5,SG 1-5,7/31/17,212,0.65,4.331622151460234,0.812887197521663
SG,Dry,6,SG 1-6,7/31/17,212,0.58,2.5356299386452834,0.5601431362332641
SG,Deep,1,SG 3-1,7/31/17,212,0.39,0.592705341951152,0.2038516149509959
SG,Deep,2,SG 3-2,7/31/17,212,0.37,0.508618070204669,0.18327584203617128
SG,Deep,3,SG 3-3,7/31/17,212,0.38,0.5490543208310023,0.193290135238654
SG,Deep,4,SG 3-4,7/31/17,212,0.5,1.3749840109900042,0.36598500092614666
SG,Deep,5,SG 3-5,7/31/17,212,0.48,1.1799146468459667,0.32904428661736607
SG,Deep,6,SG 3-6,7/31/17,212,0.35,0.43646028309298035,0.1647768857859789
CF,Wet,1,CF 2-1,8/12/17,224,0.43,0.8048833673660827,0.25219241594420944
CF,Wet,2,CF 2-2,8/12/17,224,0.49,1.273720445681124,0.34702344811611796
CF,Wet,3,CF 2-3,8/12/17,224,0.49,1.273720445681124,0.34702344811611796
CF,Wet,4,CF 2-4,8/12/17,224,0.45,0.9379506931272403,0.28050522478829554
CF,Wet,5,CF 2-5,8/12/17,224,0.66,4.67599560021431,0.8573038028204663
CF,Wet,6,CF 2-6,8/12/17,224,0.41,0.6906943401284741,0.22673736187188107
CF,Dry,1,CF 1-1,8/12/17,224,0.37,0.508618070204669,0.18327584203617128
CF,Dry,2,CF 1-2,8/12/17,224,0.48,1.1799146468459667,0.32904428661736607
CF,Dry,3,CF 1-3,8/12/17,224,0.51,1.4842982515422911,0.38598262345111634
CF,Dry,4,CF 1-4,8/12/17,224,0.38,0.5490543208310023,0.193290135238654
CF,Dry,5,CF 1-5,8/12/17,224,0.55,2.0156507632344045,0.47751346166191155
CF,Dry,6,CF 1-6,8/12/17,224,0.58,2.5356299386452834,0.5601431362332641
CF,Deep,1,CF 3-1,8/12/17,224,0.24,0.18814207239578018,0.09177981116457241
CF,Deep,2,CF 3-2,8/12/17,224,0.3,0.29773308036856044,0.1262914525741408
CF,Deep,3,CF 3-3,8/12/17,224,0.32,0.34695579561104917,0.14046977646221773
CF,Deep,4,CF 3-4,8/12/17,224,0.4,0.6398267148608073,0.21499017974621845
CF,Deep,5,CF 3-5,8/12/17,224,0.36,0.4711598315940518,0.17378038580496738
CF,Deep,6,CF 3-6,8/12/17,224,0.36,0.4711598315940518,0.17378038580496738
TL,Wet,1,TL 2-1,8/12/17,224,0.46,1.012519827659118,0.29583218514842796
TL,Wet,2,TL 2-2,8/12/17,224,0.66,4.67599560021431,0.8573038028204663
